"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
0.00,3.52,,
0.10,3.30,-1.13,
0.20,3.29,-0.35,5.74
0.30,3.30,0.02,2.94
0.40,3.30,-0.04,2.35
0.50,3.30,0.32,2.62
0.60,3.27,0.75,1.64
0.70,3.52,0.80,-1.59
0.80,3.53,0.47,-4.55
0.90,3.53,-0.35,-4.96
1.00,3.55,-0.82,-1.86
1.10,3.29,-0.88,3.07
1.20,3.27,-0.11,4.92
1.30,3.28,0.79,2.51
1.40,3.49,0.46,-1.70
1.50,3.54,0.05,-2.88
1.60,3.29,-0.39,-0.42
1.70,3.52,-0.09,3.12
1.80,3.28,0.34,
1.90,3.50,1.19,
2.00,3.51,,
