"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
0.00,0.26,,
0.10,0.31,0.45,
0.20,0.35,0.43,-0.12
0.30,0.40,0.43,-0.04
0.40,0.44,0.43,0.01
0.50,0.48,0.43,0.02
0.60,0.52,0.43,0.02
0.70,0.57,0.43,0.03
0.80,0.61,0.44,0.03
0.90,0.65,0.44,-0.01
1.00,0.70,0.44,-0.07
1.10,0.74,0.43,-0.12
1.20,0.79,0.41,-0.10
1.30,0.82,0.40,0.01
1.40,0.86,0.41,0.08
1.50,0.91,0.43,0.05
1.60,0.95,0.43,-0.01
1.70,0.99,0.41,0.01
1.80,1.03,0.42,0.06
1.90,1.07,0.44,0.05
2.00,1.12,0.44,-0.05
2.10,1.16,0.42,-0.13
2.20,1.21,0.41,-0.15
2.30,1.25,0.39,-0.10
2.40,1.29,0.38,-0.02
2.50,1.32,0.39,0.06
2.60,1.36,0.40,0.10
2.70,1.40,0.41,0.09
2.80,1.44,0.42,0.05
2.90,1.48,0.42,-0.01
3.00,1.53,0.42,-0.21
3.10,1.57,0.40,-0.39
3.20,1.61,0.31,-0.25
3.30,1.64,0.29,0.22
3.40,1.64,0.38,0.53
3.50,1.72,0.46,0.26
3.60,1.76,0.46,-0.16
3.70,1.80,0.37,
3.80,1.83,0.37,
3.90,1.87,,
